# Model Spectrum: Blackbody T = 10000.000
# No ISM extinction
# Normalization: A0V magnitude 15.000000 for filter 2MASS Ks
# 
# Wavelength (microns)   F_lambda (W/m^2/micron)   F_nu (Jy)
     0.15453011  1.905066e-14  1.517454e-04
     0.15468503  1.913305e-14  1.527074e-04
     0.15484010  1.921562e-14  1.536740e-04
     0.15499533  1.929836e-14  1.546454e-04
     0.15515071  1.938128e-14  1.556214e-04
     0.15530625  1.946437e-14  1.566021e-04
     0.15546194  1.954764e-14  1.575875e-04
     0.15561779  1.963109e-14  1.585777e-04
     0.15577380  1.971470e-14  1.595726e-04
     0.15592996  1.979849e-14  1.605723e-04
     0.15608628  1.988245e-14  1.615767e-04
     0.15624276  1.996658e-14  1.625859e-04
     0.15639939  2.005089e-14  1.635999e-04
     0.15655618  2.013536e-14  1.646187e-04
     0.15671313  2.022000e-14  1.656423e-04
     0.15687024  2.030482e-14  1.666708e-04
     0.15702750  2.038980e-14  1.677041e-04
     0.15718492  2.047494e-14  1.687422e-04
     0.15734250  2.056026e-14  1.697852e-04
     0.15750023  2.064574e-14  1.708331e-04
     0.15765813  2.073138e-14  1.718859e-04
     0.15781618  2.081719e-14  1.729436e-04
     0.15797439  2.090317e-14  1.740062e-04
     0.15813276  2.098930e-14  1.750737e-04
     0.15829129  2.107560e-14  1.761462e-04
     0.15844998  2.116207e-14  1.772237e-04
     0.15860882  2.124869e-14  1.783061e-04
     0.15876783  2.133547e-14  1.793934e-04
     0.15892699  2.142242e-14  1.804858e-04
     0.15908632  2.150952e-14  1.815832e-04
     0.15924580  2.159678e-14  1.826856e-04
     0.15940545  2.168420e-14  1.837930e-04
     0.15956525  2.177177e-14  1.849054e-04
     0.15972521  2.185950e-14  1.860229e-04
     0.15988534  2.194739e-14  1.871455e-04
     0.16004562  2.203543e-14  1.882731e-04
     0.16020607  2.212362e-14  1.894059e-04
     0.16036668  2.221197e-14  1.905437e-04
     0.16052744  2.230047e-14  1.916866e-04
     0.16068837  2.238912e-14  1.928347e-04
     0.16084946  2.247792e-14  1.939879e-04
     0.16101072  2.256687e-14  1.951462e-04
     0.16117213  2.265597e-14  1.963097e-04
     0.16133370  2.274522e-14  1.974784e-04
     0.16149544  2.283461e-14  1.986522e-04
     0.16165734  2.292415e-14  1.998313e-04
     0.16181940  2.301384e-14  2.010155e-04
     0.16198163  2.310367e-14  2.022050e-04
     0.16214401  2.319365e-14  2.033997e-04
     0.16230656  2.328377e-14  2.045996e-04
     0.16246928  2.337403e-14  2.058048e-04
